Point ID,area,continuity,lambda_continuity,lambda_momentum_x,lambda_momentum_y,momentum_x,momentum_y,p,p__x,p__y,Points_0,Points_1,Points_2,Points_Magnitude,pred_continuity,pred_momentum_x,pred_momentum_y,sdf,sdf__x,sdf__y,true_continuity,true_momentum_x,true_momentum_y,u,u__x,u__x__x,u__x__y,u__y,u__y__y,v,v__x,v__x__x,v__x__y,v__y,v__y__y
0,0.00156701,-0.142316,0.250348,0.250348,0.250348,0.00864227,-0.0381679,6.05584,0.476702,-0.682421,-1.26465,0.249652,0,1.28906,-0.142316,0.00864227,-0.0381679,0.250348,0,-1,0,0,0,0.787434,-0.53455,-2.81093,7.1103,-0.609153,-7.09637,0.286911,0.581995,2.66392,2.30847,0.392234,-6.97109
1,0.00156701,-0.110174,0.215447,0.215447,0.215447,0.0588926,0.00218789,5.75353,0.477639,-0.144523,-1.85734,0.284553,0,1.87901,-0.110174,0.0588926,0.00218789,0.215447,0,-1,0,0,0,0.876848,-0.215522,0.105843,1.67813,-2.78579,-7.16874,0.134143,0.131151,0.101374,-0.127965,0.105348,-2.05461
2,0.00156701,0.0440731,0.244342,0.244342,0.244342,-0.0633604,-0.000483401,0.477653,-0.416606,0.20211,0.672252,-0.255658,0,0.719224,0.0440731,-0.0633604,-0.000483401,0.244342,0,1,0,0,0,1.15535,-0.0269304,-0.861313,7.20905,0.285925,-33.1331,0.120534,-0.249283,0.410605,0.901615,0.0710035,-7.30688
3,0.00156701,0.0861518,0.0860128,0.0860128,0.0860128,0.0563998,0.0700353,0.573437,-0.55453,-0.233512,0.397595,0.413987,0,0.573992,0.0861518,0.0563998,0.0700353,0.0860128,0,-1,0,0,0,0.854261,-1.07184,3.77998,1.7646,-5.49207,-79.4592,-0.108911,0.318399,-0.865139,-3.78267,1.15799,-0.116163
4,0.00156701,-0.0946955,0.16311,0.16311,0.16311,-0.0036173,-0.0217166,5.68065,0.432914,0.0853125,-2.07203,-0.33689,0,2.09924,-0.0946955,-0.0036173,-0.0217166,0.16311,0,1,0,0,0,0.714685,-0.235565,0.023883,-1.68184,3.37261,-2.23828,-0.0936114,-0.085034,0.18949,-0.022497,0.140869,2.44451
5,0.00156701,-0.136795,0.114316,0.114316,0.114316,0.127142,-0.0353439,5.58996,0.329581,0.122256,-2.2934,-0.385684,0,2.3256,-0.136795,0.127142,-0.0353439,0.114316,0,1,0,0,0,0.581897,-0.15528,0.00652442,-2.05437,3.8977,-6.5961,-0.0705884,-0.177698,0.669938,-0.0276039,0.0184851,2.96557
6,0.00156701,-0.489572,0.0543694,0.0543694,0.0543694,0.0730977,0.0274354,5.88094,0.479494,0.0673289,-1.56899,0.445631,0,1.63105,-0.489572,0.0730977,0.0274354,0.0543694,0,-1,0,0,0,0.343491,0.0955423,0.691356,0.81685,-4.47116,-40.4132,0.146415,0.109798,0.0597527,-1.09593,-0.585115,-6.7762
7,0.00156701,-0.108686,0.221784,0.221784,0.221784,0.0644582,0.000645224,5.78302,0.484636,-0.154858,-1.79802,0.278216,0,1.81941,-0.108686,0.0644582,0.000645224,0.221784,0,-1,0,0,0,0.881119,-0.220064,0.102477,1.72999,-2.63825,-7.56152,0.141475,0.139814,0.166326,-0.111382,0.111379,-2.11246
8,0.00156701,0.465958,0.0365095,0.0365095,0.0365095,-0.163469,0.278455,5.36263,-5.16933,0.391827,-0.821154,-0.0865095,0,0.825699,0.465958,-0.163469,0.278455,0.0365095,-0,-1,0,0,0,0.75063,1.08772,-3.83166,-11.0474,-11.8338,-356.123,-0.0347623,0.228497,-7.15848,-0.958465,-0.621758,28.17
9,0.00156701,1.14423,0.00780927,0.00780927,0.00780927,-0.5985,-0.00801384,3.0337,-4.70042,-0.945608,-0.473813,0.307809,0,0.565018,1.14423,-0.5985,-0.00801384,0.00780927,-0,1,0,0,0,0.267868,0.104717,-0.699973,11.5581,37.584,-690.059,0.0127978,-0.0151082,-0.00961033,-1.53848,1.03951,-108.787
10,0.00156701,0.422906,0.00873016,0.00873016,0.00873016,0.235177,-0.233438,3.11083,-5.7076,-0.0154968,-0.423006,0.19127,0,0.46424,0.422906,0.235177,-0.233438,0.00873016,-0,-1,0,0,0,0.345908,0.0991061,0.290109,-9.94624,-33.3181,-821.61,-0.0110419,-0.0112332,-0.00764622,-0.0362542,0.3238,26.2345
11,0.00156701,-0.00653398,0.0317061,0.0317061,0.0317061,-0.0468503,-0.0399883,0.012538,-0.168352,-0.0511153,2.35711,0.468294,0,2.40318,-0.00653398,-0.0468503,-0.0399883,0.0317061,0,-1,0,0,0,0.244951,-0.0250164,-0.0875117,0.403772,-6.77357,-52.5456,0.00212469,0.0059204,-0.0124711,0.0198639,0.0184824,-0.671932
12,0.00156701,0.392564,0.0195354,0.0195354,0.0195354,-0.0267069,-0.114306,3.57705,-4.66535,-0.663194,-0.591473,0.319535,0,0.672267,0.392564,-0.0267069,-0.114306,0.0195354,-0,1,0,0,0,0.626068,0.324608,-0.832852,10.5452,27.9057,-669.714,0.0203745,-0.00184571,-0.159994,1.21202,0.0679564,-49.3756
13,0.00156701,0.0194961,0.416556,0.416556,0.416556,0.0161927,-0.00597949,0.542089,-0.432775,-0.0931793,0.57529,0.0834436,0,0.58131,0.0194961,0.0161927,-0.00597949,0.416556,0,-1,0,0,0,0.908062,0.679142,-0.725212,-0.746289,0.928726,9.18473,-0.0532329,0.0588853,0.243313,0.545564,-0.659646,0.9416
