Point ID,advection_diffusion_c,area,c,c__x,c__x__x,c__y,c__y__y,lambda_advection_diffusion_c,p,Points_0,Points_1,Points_2,Points_Magnitude,pred_advection_diffusion_c,sdf,true_advection_diffusion_c,u,v
0,-0.0100239,0.00156701,0.125341,-0.0131941,0.009059,-0.555602,-2.0627,1,0.0558058,2.15454,0.127412,0,2.1583,-0.0100239,0.372588,0,1.27765,-0.00490701
1,0.00813735,0.00156701,0.00399569,0.0232557,0.0496313,-0.0229238,0.361736,1,5.93304,-1.45332,0.379352,0,1.50202,0.00813735,0.120648,0,0.579619,0.197148
2,0.00129003,0.00156701,0.0380299,0.00447161,-0.00275555,0.00715374,0.261605,1,0.33225,1.01559,-0.457057,0,1.1137,0.00129003,0.0429425,0,0.372105,0.0201038
3,0.00454226,0.00156701,0.00720408,0.0171455,0.0305313,0.19896,2.24091,1,5.67476,-2.11998,-0.199324,0,2.12933,0.00454226,0.300676,0,1.14298,-0.0528342
4,0.00209783,0.00156701,0.0331573,0.00527494,-0.0022003,0.00158236,0.0307364,1,0.324869,1.03894,0.44827,0,1.13152,0.00209783,0.0517302,0,0.41502,-0.0216829
5,0.00306893,0.00156701,0.0360213,0.00529145,0.000846336,0.0379928,1.30458,1,0.496934,0.547109,-0.433556,0,0.698068,0.00306893,0.0664443,0,0.653028,0.0585459
6,0.00190161,0.00156701,0.177497,-0.0126758,0.0135564,0.0763722,-5.3381,1,0.594612,0.459672,-0.0210736,0,0.460155,0.00190161,0.459672,0,0.790546,0.0166727
7,0.0401547,0.00156701,0.0680811,0.0403877,0.0523979,0.031021,-1.71732,1,6.10423,-1.35438,-0.0213272,0,1.35455,0.0401547,0.354382,0,0.881706,0.0391592
8,-0.00417264,0.00156701,0.0451061,-0.00118617,0.0140488,-0.279659,5.07293,1,0.249773,1.32035,0.29229,0,1.35232,-0.00417264,0.20771,0,0.977335,-0.0256047
9,-0.00107501,0.00156701,0.1638,-0.0259757,-0.0115997,0.25164,-7.57718,1,0.371723,0.979679,-0.129498,0,0.988201,-0.00107501,0.370502,0,1.16967,0.0561536
10,0.0438947,0.00156701,0.0601539,0.0785525,0.0101917,-0.192375,-2.97665,1,6.09851,-1.32359,0.10427,0,1.32769,0.0438947,0.328111,0,0.886203,0.164531
